symbol,PER,ROE,SMA20_diff,RSI,target
MSFT,34.84365,0.3361,0.0296831341069714,67.33364671322596,1
NVDA,44.65646,1.1917701,0.0693152642088482,78.0777707557611,1
AAPL,30.415888,1.38015,-0.0503899259261303,45.48857482650572,0
AMZN,32.78793,0.2524,0.019901787515168,66.62879125320592,0
GOOGL,18.802456,0.34789002,0.0390787916690573,54.65879118366868,0
META,24.513683,0.39835,0.0269570822544538,60.71565577617083,0
TSLA,192.80682,0.087740004,0.0882298504175529,75.4216716220507,1
BRK-B,13.422021,0.13187,-0.0247644406536495,40.29044610311894,1
AVGO,106.38139,0.14845,0.0644749271541978,80.80985749957354,1
TSM,23.102285,0.31641,0.0512021488115567,70.37133837995896,1
WMT,41.17094,0.21783,-0.0078680709598304,36.06543183153468,1
JPM,12.78617,0.17352,0.0171389008193832,63.174930341229306,1
V,35.60322,0.50655,0.0017190956601524,57.592612488082686,1
LLY,58.11971,0.77278,-0.0778729844552526,27.69441029567939,0
SPY,25.232693,-1.0,0.0095496496223123,63.35613789759057,0
MA,39.52174,1.8770399,-0.0038223887622101,51.93519671739166,1
NFLX,55.861927,0.40842,0.0267517385388514,65.97769859128599,1
COST,58.838974,0.32894,-0.0005634994624946,47.22052311319251,0
XOM,13.664456,0.14302,-0.0247369629039187,52.49757219663309,0
ORCL,36.612675,1.03741,0.0202086122578329,62.10145428310008,0
PG,26.326982,0.30294,0.0267012964461675,70.3532590448523,0
HD,24.623898,2.9951901,-0.0129239090001475,50.91279862375255,0
JNJ,17.012236,0.29447,-0.0035053816018026,45.51784905625298,0
SAP,53.515423,0.12905,-0.0004864279384727,37.96524175532922,1
BAC,12.895523,0.094560005,0.0190602178515909,65.70997710030115,0
ABBV,77.98298,0.884,-0.0235559593125681,35.795065953890656,0
KO,28.823292,0.38776,0.0060415299411304,50.38931986350254,1
BABA,16.22715,0.114379995,-0.0307015228039595,42.06091396671778,0
PLTR,536.13043,0.12357,0.0183797053650948,49.58227463802285,1
NVO,18.91854,0.88115,0.0130485254022532,45.82742813402416,0
ASML,29.241117,0.55618,0.0216252635840699,67.36409580274099,0
UNH,12.377304,0.22700001,-0.166813474367427,23.186053897921155,0
RCIT,16.6491665,-1.0,-0.0167883659385382,38.74331423656696,0
CRM,42.94497,0.10258,-0.0229759526413318,50.51738468106822,0
TMUS,23.69561,0.19351,-0.0028615029496517,42.97564330692249,0
PM,28.105679,-1.0,0.0409388982087671,58.90313816057601,1
CSCO,25.759184,0.21356001,0.0374985732669102,73.13799338412768,1
GE,36.77567,0.27197,0.0670608427253088,84.49525220286046,1
IBM,44.21026,0.21851,0.0223011836447924,64.09834902450817,0
WFC,13.098922,0.11021,-0.0089660320625069,46.95001644195989,0
TM,7.2890844,0.13283,-0.0336653285269009,32.687083691880346,1
CVX,15.60457,0.10079,-0.003622448604359,59.18961208073425,0
ABT,17.074123,0.30649,-0.0074385326762739,46.40485918113987,0
MCD,27.78887,-1.0,-0.0016693114036586,48.325091317036566,1
NVS,17.672413,0.32887,0.0161365276414896,49.14106721019011,1
AZN,28.27711,0.19793,0.01091900709197,43.92186868586495,0
LIN,33.32607,0.17013,0.0122946572906501,57.092275931649866,1
HSBC,10.869725,0.10962,0.0300358469718187,77.06516927329363,1
NOW,137.02184,0.16858,0.0099890702960973,58.0765886865165,1
AXP,19.917599,0.34273,0.0014676891062211,57.28175324338158,0
MS,14.779602,0.13884,0.0195948654330439,63.38437276673544,0
QQQ,31.934755,-1.0,0.0202899738860468,69.28037164256564,0
DIS,22.391836,0.08894,0.0602041905372683,81.68406776682983,0
T,16.822086,0.10885,-0.0019291658428802,49.20634813843511,1
ACN,25.500822,0.26965,-0.0046235625586782,51.942650038931625,0
ISRG,78.76496,0.15958,-0.003405203743878,55.27465891784503,0
SHEL,15.136987,0.07565,0.0113340369241081,70.40256122406552,1
MRK,11.276163,0.39293,-0.0199286058501897,39.50519109728795,0
UBER,15.367776,0.69382006,0.0174620769382819,55.29197239076857,1
INTU,58.834152,0.17839001,0.1057429246033978,80.34643175294467,1
FMX,30.454285,0.1104,0.026453367965944,65.53551209397023,1
VZ,10.314286,0.18416001,-0.0034965220591456,48.08361489405254,1
HDB,22.833334,0.14573,0.0192610204739325,51.53610456609419,1
GS,13.890461,0.12222,0.0313280134754732,67.63480527513309,0
RTX,38.812317,0.07802,0.0172555083359453,64.73786629453204,1
AMD,80.51825,0.03904,0.0400961579593248,64.79902908741838,1
PEP,19.020588,0.49927,-0.0181394599093222,40.90593480293949,0
RY,14.495485,0.14245,0.047869201664345,79.98391937855942,1
ADBE,26.945803,0.47284,0.035359796063233,73.52891055577726,0
BX,41.37386,0.26345,-0.0258878550111739,50.01620905975081,0
BKNG,33.222027,-1.0,0.0267655995758339,59.75861748883087,1
TXN,33.45351,0.29189,0.0110000579964525,65.9907800401088,0
QCOM,14.834694,0.42205003,-0.0127095143813684,61.720606353293405,0
PGR,18.685984,0.34338,-0.0142565307227287,43.87289094836243,1
PDD,11.302369,0.44924,0.0542649270300119,69.02493929355623,0
CAT,16.750732,0.55646,0.0316938593648614,67.65940168032927,1
SCHW,26.48485,0.14118,0.0280022724340767,73.31833403444153,1
SPGI,40.001568,0.11241,0.0027988549877125,53.69439552175908,0
MUFG,12.198198,0.09658,0.045317682384111,79.50000762939453,1
BSX,76.277374,0.09498999,0.0039726520586372,51.494264364520006,1
BA,16.6491665,-1.0,0.0374642625830472,75.89574523498526,1
SONY,19.48855,0.14214,0.0159576782499315,53.229413139058224,1
TMO,23.088564,0.13704,-0.0487892306294245,37.818286525701495,0
UL,24.53077,0.29405,0.0219264517443345,55.205046427737656,1
BLK,23.417942,0.13932,0.0162195317495735,66.00612137473928,1
NEE,25.378277,0.07056,-0.0251341386879394,54.12525861075214,0
TJX,29.57647,0.60356,-0.0307288530451838,42.66747956328741,1
SYK,51.03252,0.14259,-0.013708109233373,45.1513955814392,0
AMGN,24.74135,1.0567299,-0.0076818430292175,45.572176157679344,0
HON,25.52069,0.32676998,0.028841706533514,62.85856500992188,1
DE,22.569027,0.23912,0.0310762087719133,65.34842553780004,1
C,11.546603,0.06435,0.0123276267301165,61.98486311676062,0
DHR,35.69439,0.07219,-0.0488487224303762,40.23390162115335,0
SHOP,82.52846,0.16145,0.000931836260135,53.85563582804595,0
ARM,169.57333,0.13054,0.0250995432251633,56.48401203677623,0
UNP,19.9919,0.42468,0.0031887467429638,57.51212507780386,0
GILD,22.556723,0.32654998,0.0412898799523048,56.70194531551528,0
SPOT,103.12618,0.24404,0.0301723679473733,55.19701168248224,1
AMAT,19.161798,0.36372003,-0.0122954520365783,54.02271418474508,0
PFE,16.89855,0.0862,0.0149425148238984,49.08493790396264,0
CMCSA,8.502463,0.18049,-0.0024706986733935,51.06382485326753,0
TTE,9.696817,0.117139995,-0.0101481767904865,54.0584341191843,0
BUD,20.37647,-1.0,0.0373975023419268,69.59615884714673,1
ADP,32.797752,0.76289004,0.0369767457641221,84.94491647824051,1
MELI,61.723602,0.49106997,0.0315733237771536,75.66650550816728,1
LOW,18.28536,-1.0,-0.0245225814879786,44.84226982305307,0
SNY,18.36749,-1.0,0.0114409686796672,48.53097678878435,1
PANW,107.32758,0.21162,-0.0105226231119601,48.00346677993012,0
