symbol,PER,ROE,SMA20_diff,RSI
MSFT,34.84365,0.3361,0.0180694964731086,47.88913207654473
NVDA,44.65646,1.1917701,0.0004960568674253,41.81249835342189
AAPL,30.415888,1.38015,-0.0528520071032058,40.05812023723304
AMZN,32.78793,0.2524,-0.0296557071541091,39.99999999999999
GOOGL,18.802456,0.34789002,-0.005663310135391,41.32368099034908
META,24.513683,0.39835,-0.0525187227297186,36.70716923738827
TSLA,192.80682,0.087740004,-0.0122089070058593,43.33333125306288
BRK-B,13.422021,0.13187,0.0038344331655796,49.27837128794576
AVGO,106.38139,0.14845,0.0346365021698534,45.97422936718322
TSM,23.102285,0.31641,-0.050705766817724,35.13947138901868
WMT,41.17094,0.21783,0.0704040703594516,59.17099472179808
JPM,12.78617,0.17352,0.0025941720847352,44.37399327471816
V,35.60322,0.50655,-0.0072092482850359,44.98801412609355
LLY,58.11971,0.77278,-0.0837011976661567,23.4924821727228
SPY,25.232693,0.044710003,-0.0286454054672616,39.06981745634186
MA,39.52174,1.8770399,-0.0333194707304699,40.27390210388937
NFLX,55.861927,0.40842,-0.0175359614895979,41.33647148164071
COST,58.838974,0.32894,0.0338991747135327,60.4954257565095
XOM,13.664456,0.14302,-0.0817634778790116,32.752040201055635
ORCL,36.612675,1.03741,-0.069597213739879,32.9176975681997
PG,26.326982,0.30294,0.0024233044211434,51.64319530845153
HD,24.623898,2.9951901,-0.006554042412729,43.926958401672685
JNJ,17.012236,0.29447,-0.0424471493650797,36.35505009898765
SAP,53.515423,0.12905,-0.0212130488548055,39.39123331320685
BAC,12.895523,0.094560005,-0.1006541656835718,27.805496159024315
ABBV,77.98298,0.884,-0.1210694309961292,21.84819964646532
KO,28.823292,0.38776,0.0183119445605559,58.73241275485286
BABA,16.22715,0.114379995,-0.1503004828534901,24.47032202923577
PLTR,536.13043,0.12357,0.0203905692997181,42.014024181652765
NVO,18.91854,0.88115,-0.0723320425671165,33.50129844962278
ASML,29.241117,0.55618,-0.0176664658782128,40.62033162646864
UNH,12.377304,0.22700001,0.1310999668413558,82.71427031231349
RCIT,16.657143,0.044710003,-0.0486806650883341,34.33047316515706
CRM,42.94497,0.10258,-0.0491839690747195,33.29715319018983
TMUS,23.69561,0.19351,-0.0022217816413947,49.74988984308496
PM,28.105679,0.044710003,0.0009133365768398,53.28466402843736
CSCO,25.759184,0.21356001,-0.0289717933104823,41.08732936268011
GE,36.77567,0.27197,-0.067787701428732,32.46131610875831
IBM,44.21026,0.21851,-0.0280265862836303,40.715811695629945
WFC,13.098922,0.11021,-0.0959708738977544,27.999986808312883
TM,7.2890844,0.13283,-0.0529455112051724,32.89296394216559
CVX,15.60457,0.10079,-0.1361586379082526,25.3563625956225
ABT,17.074123,0.30649,-0.0070589021140728,49.40540967541285
MCD,27.78887,0.044710003,0.0079359748236431,53.634628193227286
NVS,17.672413,0.32887,-0.0165059330407354,43.0679597037483
AZN,28.27711,0.19793,-0.0780314348710999,30.40200802735542
LIN,33.32607,0.17013,-0.0252151862311622,43.7581337528893
HSBC,10.869725,0.10962,-0.0930575346873284,28.72171850658125
NOW,137.02184,0.16858,-0.0258119679724112,41.38747205701558
AXP,19.917599,0.34273,-0.0377382789336469,39.221924162583385
MS,14.779602,0.13884,-0.0555555118894454,35.52607509728372
QQQ,31.934755,0.044710003,-0.0239731196765452,39.62101443907593
DIS,22.391836,0.08894,-0.1024624437384484,30.522288041286203
T,16.822086,0.10885,-0.0082010552056351,51.01474512487171
ACN,25.500822,0.26965,-0.0611886268604526,38.1588874179727
ISRG,78.76496,0.15958,0.0013734622147322,46.75392711704575
SHEL,15.136987,0.07565,-0.0992898719565901,33.1128288331692
MRK,11.276163,0.39293,-0.0933241763127115,25.78385602596751
UBER,15.367776,0.69382006,0.0019198199035005,42.71442534189711
INTU,58.834152,0.17839001,-0.0151040656366887,43.91297648891072
FMX,30.454285,0.1104,0.0044902912760761,53.31391810266722
VZ,10.314286,0.18416001,0.0092628448098747,54.71434986820917
HDB,22.833334,0.14573,0.0368754048431404,56.36916913608123
GS,13.890461,0.12222,-0.0757266988664245,33.26169073199728
RTX,38.812317,0.07802,-0.015055282052989,41.02706287805065
AMD,80.51825,0.03904,-0.0685428623007426,35.28141889383775
PEP,19.020588,0.49927,-0.0191411517768519,46.2976438916424
RY,14.495485,0.14245,0.0005741472347988,45.18949334888869
ADBE,26.945803,0.47284,-0.0662972164493801,32.4444155307408
BX,41.37386,0.26345,-0.0910455537126766,34.15627470962961
BKNG,33.222027,0.044710003,0.0047741628733861,45.92750495878014
TXN,33.45351,0.29189,-0.1411363443401672,30.71523562863686
QCOM,14.834694,0.42205003,-0.0641234971987725,36.45467152418446
PGR,18.685984,0.34338,0.003014235248872,51.15685689623502
PDD,11.302369,0.44924,-0.2145119951445226,14.985113307583887
CAT,16.750732,0.55646,-0.0845249849780032,30.363271136037422
SCHW,26.48485,0.14118,0.0035337592027381,44.27043073436391
SPGI,40.001568,0.11241,-0.046985818568422,38.45100416651073
MUFG,12.198198,0.09658,-0.1195350648065114,25.873009601686466
BSX,76.277374,0.09498999,-0.0465818308601598,35.75047581037549
BA,16.657143,0.044710003,-0.0458838629347351,35.04475582523793
SONY,19.48855,0.14214,-0.0498477571431316,33.796933332166105
TMO,23.088564,0.13704,-0.0974799993864726,27.76477275500392
UL,24.53077,0.29405,0.0440222968637666,64.31284057831311
BLK,23.417942,0.13932,-0.0463664100235668,37.64727052282838
NEE,25.378277,0.07056,-0.0495584608342842,38.8946765681727
TJX,29.57647,0.60356,0.0609145585401245,66.29812972951521
SYK,51.03252,0.14259,-0.0393375274568925,39.06062120415575
AMGN,24.74135,1.0567299,-0.0591463459256415,32.06618755499461
HON,25.52069,0.32676998,-0.0342053403637512,40.76900887014965
DE,22.569027,0.23912,-0.0074515524697412,44.267433393946135
C,11.546603,0.06435,-0.0927288884436589,28.8540221054556
DHR,35.69439,0.07219,-0.0593557848175901,35.81925992452791
SHOP,82.52846,0.16145,-0.1138892171592173,31.59637509907394
